a,b,c,d,e,1,2,3,4,5,6,7,8,tot fv,tot eq,tot
0,1,0,1,1,0,2.5,0,2.5,0,1.5,0,2,3,8.5,11.5
1,0,0,0,0,0,2.5,0,2,2.5,0,0,0,1,7,8
1,0,0,1,1,1.5,2.5,2,1.5,2.5,2.5,2.5,2.5,3,17.5,20.5
1,1,0,0,0,0,1.5,0,0,0,1,0,0,2,2.5,4.5
1,1,0,1,1,2.5,2.5,2.5,2,0,2.5,2.5,2.5,4,17,21
1,1,0,1,0,0,2,0,0,0,0,0,0,3,2,5
1,1,1,0,1,2.5,2.5,2,2.5,2.5,2,2.5,2,4,18.5,22.5
1,1,0,1,0,0,2.5,0,2,0,0,0,0,3,4.5,7.5
1,1,0,0,0,2,2.5,1,0,0,2,1,0,2,8.5,10.5
1,1,1,0,1,0,0,0,0,0,0,0,0,4,0,4
1,1,0,1,1,2,2.5,2.5,0,0,2.5,2.5,2.5,4,14.5,18.5
1,1,0,0,0,0,2.5,0,2.5,0,2.5,1.5,1,2,10,12
1,1,1,0,1,2.5,2.5,2,2.5,0,2,0.5,1,4,13,17
1,0,0,1,0,0,2.5,0,1.5,2.5,0,0,1,2,7.5,9.5
1,1,0,0,0,2.5,2.5,2.5,2,0,1.5,2.5,2.5,2,16,18
1,1,0,1,0,2.5,2.5,0,2.5,2.5,2.5,2.5,2.5,3,17.5,20.5
1,1,0,1,0,0,1.5,0,0,0,0,0,0,3,1.5,4.5
1,1,0,0,0,2,0,1.5,0,0,2.5,2.5,0,2,8.5,10.5
1,1,0,1,1,0,2.5,2,2.5,2.5,2.5,2.5,0,4,14.5,18.5
1,1,0,0,1,1,2.5,0.5,2.5,2.5,2.5,2.5,2.5,3,16.5,19.5
1,1,0,1,0,0,0,0,2.5,0,2.5,2,1,3,8,11
1,1,0,1,0,2.5,2.5,2.5,2,2.5,2.5,2.5,2.5,3,19.5,22.5
